start_type,language,architecture,operation,execution_time_ms,memory_size
cold,c#,x86,rsa4096_encrypt,73.1532,1500
cold,c#,x86,rsa4096_encrypt,104.9275,1500
cold,c#,x86,rsa4096_encrypt,117.6146,1500
cold,c#,x86,rsa4096_encrypt,70.6626,1500
cold,c#,x86,rsa4096_encrypt,107.76,1500
cold,c#,x86,rsa4096_encrypt,82.4738,1500
cold,c#,x86,rsa4096_encrypt,69.3512,1500
cold,c#,x86,rsa4096_encrypt,79.3651,1500
cold,c#,x86,rsa4096_encrypt,74.5265,1500
cold,c#,x86,rsa4096_encrypt,68.6795,1500
cold,c#,x86,rsa4096_encrypt,71.4395,1500
cold,c#,x86,rsa4096_encrypt,84.2639,1500
cold,c#,x86,rsa4096_encrypt,74.218,1500
cold,c#,x86,rsa4096_encrypt,76.1915,1500
cold,c#,x86,rsa4096_encrypt,68.1865,1500
cold,c#,x86,rsa4096_encrypt,69.6495,1500
cold,c#,x86,rsa4096_encrypt,85.3301,1500
cold,c#,x86,rsa4096_encrypt,79.3467,1500
cold,c#,x86,rsa4096_encrypt,73.2345,1500
cold,c#,x86,rsa4096_encrypt,78.0233,1500
cold,c#,x86,rsa4096_encrypt,259.5464,1500
cold,c#,x86,rsa4096_encrypt,62.2139,1500
cold,c#,x86,rsa4096_encrypt,102.1847,1500
cold,c#,x86,rsa4096_encrypt,67.6948,1500
cold,java,x86,ecc256_sign,8996.2106,1500
cold,java,x86,ecc256_sign,213.9193,1500
cold,java,x86,ecc256_sign,167.0326,1500
cold,java,x86,ecc256_sign,161.8788,1500
cold,java,x86,ecc256_sign,141.7275,1500
cold,java,x86,ecc256_sign,154.5964,1500
cold,java,x86,ecc256_sign,153.861,1500
cold,java,x86,ecc256_sign,171.7711,1500
cold,java,x86,ecc256_sign,158.0245,1500
cold,java,x86,ecc256_sign,150.5658,1500
cold,java,x86,ecc256_sign,121.1438,1500
cold,java,x86,ecc256_sign,137.6854,1500
cold,java,x86,ecc256_sign,169.2585,1500
cold,java,x86,ecc256_sign,138.9433,1500
cold,java,x86,ecc256_sign,141.5239,1500
cold,java,x86,ecc256_sign,114.0222,1500
cold,java,x86,ecc256_sign,137.3311,1500
cold,java,x86,ecc256_sign,130.6406,1500
cold,java,x86,ecc256_sign,132.0044,1500
cold,java,x86,ecc256_sign,194.1232,1500
cold,java,x86,ecc256_sign,127.0832,1500
cold,java,x86,ecc256_sign,125.6711,1500
cold,java,x86,ecc256_sign,114.812,1500
cold,java,x86,ecc256_sign,157.7247,1500
cold,java,x86,ecc256_sign,120.6052,1500
cold,java,x86,ecc256_sign,103.5776,1500
cold,java,x86,ecc256_sign,136.6509,1500
cold,java,x86,ecc256_sign,146.6875,1500
cold,java,x86,ecc256_sign,127.6504,1500
cold,java,x86,ecc256_sign,124.5934,1500
cold,java,x86,ecc256_verify,8500.6406,1500
cold,java,x86,ecc256_verify,163.7324,1500
cold,java,x86,ecc256_verify,133.7237,1500
cold,java,x86,ecc256_verify,113.9311,1500
cold,java,x86,ecc256_verify,103.7591,1500
cold,java,x86,ecc256_verify,103.5715,1500
cold,java,x86,ecc256_verify,148.9308,1500
cold,java,x86,ecc256_verify,97.5379,1500
cold,java,x86,ecc256_verify,131.2892,1500
cold,java,x86,ecc256_verify,108.7006,1500
cold,java,x86,ecc256_verify,107.2224,1500
cold,java,x86,ecc256_verify,124.5006,1500
cold,java,x86,ecc256_verify,123.6617,1500
cold,java,x86,ecc256_verify,117.2479,1500
cold,java,x86,ecc256_verify,101.9868,1500
cold,java,x86,ecc256_verify,124.7556,1500
cold,java,x86,ecc256_verify,142.6717,1500
cold,java,x86,ecc256_verify,106.8255,1500
cold,java,x86,ecc256_verify,87.9105,1500
cold,java,x86,ecc256_verify,102.9648,1500
cold,java,x86,ecc256_verify,128.4217,1500
cold,java,x86,ecc256_verify,124.4623,1500
cold,java,x86,ecc256_verify,102.5726,1500
cold,java,x86,ecc256_verify,93.6466,1500
cold,java,x86,ecc256_verify,107.4107,1500
cold,java,x86,ecc256_verify,109.7411,1500
cold,java,x86,ecc256_verify,98.2308,1500
cold,java,x86,ecc256_verify,115.1891,1500
cold,java,x86,ecc256_verify,97.2176,1500
cold,java,x86,ecc256_verify,87.3839,1500
cold,java,x86,ecc384_sign,8425.9249,1500
cold,java,x86,ecc384_sign,219.5842,1500
cold,java,x86,ecc384_sign,142.7745,1500
cold,java,x86,ecc384_sign,163.4977,1500
cold,java,x86,ecc384_sign,167.9456,1500
cold,java,x86,ecc384_sign,179.6526,1500
cold,java,x86,ecc384_sign,165.4893,1500
cold,java,x86,ecc384_sign,134.5057,1500
cold,java,x86,ecc384_sign,163.3088,1500
cold,java,x86,ecc384_sign,141.2701,1500
cold,java,x86,ecc384_sign,132.0548,1500
cold,java,x86,ecc384_sign,132.4113,1500
cold,java,x86,ecc384_sign,171.6514,1500
cold,java,x86,ecc384_sign,131.3186,1500
cold,java,x86,ecc384_sign,136.7947,1500
cold,java,x86,ecc384_sign,141.0899,1500
cold,java,x86,ecc384_sign,301.7574,1500
cold,java,x86,ecc384_sign,154.7351,1500
cold,java,x86,ecc384_sign,135.4668,1500
cold,java,x86,ecc384_sign,144.1119,1500
cold,java,x86,ecc384_sign,228.6894,1500
cold,java,x86,ecc384_sign,165.6798,1500
cold,java,x86,ecc384_sign,149.3164,1500
cold,java,x86,ecc384_sign,137.2901,1500
cold,java,x86,ecc384_sign,128.9604,1500
cold,java,x86,ecc384_sign,122.8942,1500
cold,java,x86,ecc384_sign,137.9099,1500
cold,java,x86,ecc384_sign,163.3532,1500
cold,java,x86,ecc384_sign,143.7726,1500
cold,java,x86,ecc384_sign,120.0783,1500
cold,java,x86,ecc384_verify,8174.8983,1500
cold,java,x86,ecc384_verify,151.7227,1500
cold,java,x86,ecc384_verify,110.019,1500
cold,java,x86,ecc384_verify,112.0732,1500
cold,java,x86,ecc384_verify,123.8485,1500
cold,java,x86,ecc384_verify,135.649,1500
cold,java,x86,ecc384_verify,98.9527,1500
cold,java,x86,ecc384_verify,113.2626,1500
cold,java,x86,ecc384_verify,104.6259,1500
cold,java,x86,ecc384_verify,95.6127,1500
cold,java,x86,ecc384_verify,127.663,1500
cold,java,x86,ecc384_verify,104.8154,1500
cold,java,x86,ecc384_verify,114.7901,1500
cold,java,x86,ecc384_verify,91.8772,1500
cold,java,x86,ecc384_verify,106.9363,1500
cold,java,x86,ecc384_verify,87.8126,1500
cold,java,x86,ecc384_verify,107.5171,1500
cold,java,x86,ecc384_verify,114.4719,1500
cold,java,x86,ecc384_verify,94.9477,1500
cold,java,x86,ecc384_verify,116.8054,1500
cold,java,x86,ecc384_verify,86.9086,1500
cold,java,x86,ecc384_verify,92.6372,1500
cold,java,x86,ecc384_verify,118.171,1500
cold,java,x86,ecc384_verify,86.5343,1500
cold,java,x86,ecc384_verify,99.6263,1500
cold,java,x86,ecc384_verify,101.9159,1500
cold,java,x86,ecc384_verify,75.0071,1500
cold,java,x86,ecc384_verify,99.8791,1500
cold,java,x86,ecc384_verify,96.44,1500
cold,java,x86,ecc384_verify,98.0278,1500
cold,java,x86,rsa2048_decrypt,8788.0073,1500
cold,java,x86,rsa2048_decrypt,151.5433,1500
cold,java,x86,rsa2048_decrypt,162.0195,1500
cold,java,x86,rsa2048_decrypt,166.3444,1500
cold,java,x86,rsa2048_decrypt,147.3269,1500
cold,java,x86,rsa2048_decrypt,173.3324,1500
cold,java,x86,rsa2048_decrypt,171.4204,1500
cold,java,x86,rsa2048_decrypt,299.6088,1500
cold,java,x86,rsa2048_decrypt,152.3834,1500
cold,java,x86,rsa2048_decrypt,185.0143,1500
cold,java,x86,rsa2048_decrypt,160.4981,1500
cold,java,x86,rsa2048_decrypt,125.712,1500
cold,java,x86,rsa2048_decrypt,189.9934,1500
cold,java,x86,rsa2048_decrypt,141.4012,1500
cold,java,x86,rsa2048_decrypt,161.9482,1500
cold,java,x86,rsa2048_decrypt,156.5769,1500
cold,java,x86,rsa2048_decrypt,156.1255,1500
cold,java,x86,rsa2048_decrypt,124.314,1500
cold,java,x86,rsa2048_decrypt,124.9756,1500
cold,java,x86,rsa2048_decrypt,142.843,1500
cold,java,x86,rsa2048_decrypt,137.5208,1500
cold,java,x86,rsa2048_decrypt,395.3807,1500
cold,java,x86,rsa2048_decrypt,130.768,1500
cold,java,x86,rsa2048_decrypt,113.9378,1500
cold,java,x86,rsa2048_decrypt,125.5633,1500
cold,java,x86,rsa2048_decrypt,115.2639,1500
cold,java,x86,rsa2048_decrypt,130.6101,1500
cold,java,x86,rsa2048_decrypt,165.0847,1500
cold,java,x86,rsa2048_decrypt,125.1605,1500
cold,java,x86,rsa2048_decrypt,143.7281,1500
cold,java,x86,rsa2048_encrypt,9084.3886,1500
cold,java,x86,rsa2048_encrypt,176.2897,1500
cold,java,x86,rsa2048_encrypt,155.9127,1500
cold,java,x86,rsa2048_encrypt,173.554,1500
cold,java,x86,rsa2048_encrypt,121.8278,1500
cold,java,x86,rsa2048_encrypt,154.1176,1500
cold,java,x86,rsa2048_encrypt,145.9709,1500
cold,java,x86,rsa2048_encrypt,114.3139,1500
cold,java,x86,rsa2048_encrypt,198.3099,1500
cold,java,x86,rsa2048_encrypt,173.5299,1500
cold,java,x86,rsa2048_encrypt,129.4919,1500
cold,java,x86,rsa2048_encrypt,131.9118,1500
cold,java,x86,rsa2048_encrypt,110.2937,1500
cold,java,x86,rsa2048_encrypt,141.1432,1500
cold,java,x86,rsa2048_encrypt,110.4648,1500
cold,java,x86,rsa2048_encrypt,132.2996,1500
cold,java,x86,rsa2048_encrypt,121.0684,1500
cold,java,x86,rsa2048_encrypt,107.9163,1500
cold,java,x86,rsa2048_encrypt,145.5747,1500
cold,java,x86,rsa2048_encrypt,123.3407,1500
cold,java,x86,rsa2048_encrypt,111.2673,1500
cold,java,x86,rsa2048_encrypt,135.2354,1500
cold,java,x86,rsa2048_encrypt,109.4136,1500
cold,java,x86,rsa2048_encrypt,125.5682,1500
cold,java,x86,rsa2048_encrypt,107.8987,1500
cold,java,x86,rsa2048_encrypt,108.4775,1500
cold,java,x86,rsa2048_encrypt,113.4248,1500
cold,java,x86,rsa2048_encrypt,118.4848,1500
cold,java,x86,rsa2048_encrypt,128.6696,1500
cold,java,x86,rsa2048_encrypt,100.1194,1500
cold,java,x86,rsa3072_decrypt,17769.5413,1500
cold,java,x86,rsa3072_decrypt,270.1958,1500
cold,java,x86,rsa3072_decrypt,249.2129,1500
cold,java,x86,rsa3072_decrypt,175.11,1500
cold,java,x86,rsa3072_decrypt,176.6268,1500
cold,java,x86,rsa3072_decrypt,172.0125,1500
cold,java,x86,rsa3072_decrypt,178.7207,1500
cold,java,x86,rsa3072_decrypt,168.739,1500
